,episode_reward,nb_episode_steps,nb_steps
430,125.04102170032445,114,37634
431,-113.02486551470636,33,37667
432,-100.57875375664047,233,37900
433,24.8870857260017,214,38114
434,-117.11562819774292,33,38147
435,-166.19128843229188,56,38203
436,-100.46486025517193,238,38441
437,69.0586041686592,170,38611
438,-111.22676921385096,27,38638
439,87.80100161993923,151,38789
440,-100.20750364849188,238,39027
441,-108.91465329993343,26,39053
442,-111.96491965700807,25,39078
443,-100.76606625819537,234,39312
444,25.987498016221778,213,39525
445,-178.77486422939566,69,39594
446,-172.6968447767261,65,39659
447,52.70129764484322,186,39845
448,-100.90585404421589,222,40067
449,104.31574724969549,132,40199
450,-100.3929535713336,229,40428
451,-151.61450939425873,44,40472
452,91.1124920505592,148,40620
453,-158.09395781131195,49,40669
454,-158.47184538644447,51,40720
455,-100.09090119835425,226,40946
456,-101.81880626901702,22,40968
457,-199.50160803228152,17,40985
458,-155.82659948570583,72,41057
459,-100.55116253533708,235,41292
460,-161.70598984129612,54,41346
461,-157.13572331474236,74,41420
462,9.110777486045606,229,41649
463,101.49929419020997,137,41786
464,69.98958030560749,169,41955
465,-100.62381780610892,15,41970
466,-196.9307483715778,10,41980
467,-111.29460460992084,23,42003
468,-150.87043786613484,41,42044
469,-105.09795633070482,22,42066
470,-101.83094392391419,19,42085
471,60.608670217716416,178,42263
472,-112.42341558826486,26,42289
473,100.11960115427527,138,42427
474,-199.57095086265315,18,42445
475,-100.08392542179499,236,42681
476,75.1341636553206,164,42845
477,-100.14567956250193,15,42860
478,-112.68025741330159,26,42886
479,63.999967968653905,174,43060
480,69.24475913114976,169,43229
481,115.81157983730895,123,43352
482,118.09328853867383,120,43472
483,-150.6416677137937,42,43514
484,-183.62705422546298,76,43590
485,55.76679020477771,183,43773
486,-149.08849370714586,38,43811
487,55.93026106685916,183,43994
488,-164.69541147921979,56,44050
489,81.06379083734643,158,44208
490,154.1613211989981,85,44293
491,-158.8552136885164,51,44344
