;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
222;-122;-122,11950708226618;1,19507E+13;13;5332
;;;;;
223;-174;-174,6037417098702;6,03742E+12;18;5350
;;;;;
224;-109;-109,15087367371035;1,50874E+13;10;5360
;;;;;
225;-98;-98,281371507292;2,81372E+11;11;5371
;;;;;
226;-117;-117,73538640886366;7,35386E+13;17;5388
;;;;;
227;-115;-115,28919134256088;2,89191E+13;12;5400
;;;;;
228;-98;-98,44340087292002;4,43401E+13;10;5410
;;;;;
229;-131;-131,2175665088598;2,17567E+12;16;5426
;;;;;
230;-128;-128,87729217043386;8,77292E+13;15;5441
;;;;;
231;-109;-109,40368877876256;4,03689E+13;8;5449
;;;;;
232;-110;-110,6643936161939;6,64394E+12;9;5458
;;;;;
233;-307;-307,488165427499;4,88165E+11;24;5482
;;;;;
234;-109;-109,37182532732729;3,71825E+13;8;5490
;;;;;
235;-109;-109,40082433957184;4,00824E+13;8;5498
;;;;;
236;-95;-95,9161712461624;9,16171E+12;10;5508
;;;;;
237;-98;-98,372537981734;3,72538E+11;10;5518
;;;;;
238;-119;-119,11569522220549;1,15695E+13;12;5530
;;;;;
239;-103;-103,86890641178826;8,68906E+13;13;5543
;;;;;
240;-115;-115,454836606913;4,54837E+11;9;5552
;;;;;
241;-614;-614,5719291522083;5,71929E+12;35;5587
;;;;;
242;-109;-109,4056583971934;4,05658E+12;8;5595
;;;;;
243;-109;-109,36422763052832;3,64228E+13;8;5603
;;;;;
244;-96;-96,1611150752234;1,61115E+12;10;5613
;;;;;
245;-1055;-1055,8068482810872;8,06848E+12;47;5660
;;;;;
246;-109;-109,40828085472273;4,08281E+13;8;5668
;;;;;
247;-109;-109,40342590090506;4,03426E+13;8;5676
;;;;;
248;-206;-206,55617147554213;5,56171E+13;18;5694
;;;;;
249;-109;-109,39690294247427;3,96903E+13;8;5702
;;;;;
250;-109;-109,39225436680229;3,92254E+13;8;5710
;;;;;
251;-101;-101,57296450110857;5,72965E+13;8;5718
;;;;;
252;-343;-343,17178416846195;1,71784E+13;25;5743
;;;;;
253;-98;-98,38464181251237;3,84642E+13;10;5753
;;;;;
254;-109;-109,4058975711103;4,05898E+12;8;5761
;;;;;
255;-126;-126,4706399731352;4,7064E+12;10;5771
;;;;;
256;-106;-106,89580795172705;8,95808E+13;9;5780
;;;;;
257;-179;-179,8505040247195;8,50504E+12;15;5795
;;;;;
258;-115;-115,17700993553962;1,7701E+13;12;5807
;;;;;
259;-124;-124,96978316520565;9,69783E+13;12;5819
;;;;;
260;-134;-134,72874287551574;7,28743E+13;15;5834
;;;;;
261;-130;-130,5990951374858;5,99095E+12;14;5848
;;;;;
262;-172;-172,54192474770474;5,41925E+13;14;5862
;;;;;
263;-146;-146,27741642809957;2,77416E+13;14;5876
;;;;;
264;-126;-126,46134460982242;4,61345E+13;10;5886
;;;;;
265;-249;-249,12852396978718;1,28524E+13;21;5907
;;;;;
266;-98;-98,34397852445952;3,43979E+13;10;5917
;;;;;
267;-143;-143,9261643515675;9,26164E+12;15;5932
;;;;;
268;-201;-201,65102369646763;6,51024E+13;16;5948
;;;;;
269;-109;-109,39755166905482;3,97552E+13;8;5956
;;;;;
270;-110;-110,20285376078203;2,02854E+13;11;5967
;;;;;
271;-308;-308,39531093937535;3,95311E+13;23;5990
;;;;;
272;-98;-98,86482007372373;8,6482E+13;9;5999
;;;;;
273;-109;-109,38316718263354;3,83167E+13;8;6007
;;;;;
274;-124;-124,78537008383603;7,8537E+13;14;6021
;;;;;
275;-94;-94,44351432930074;4,43514E+13;12;6033
;;;;;
276;-197;-197,67485987053638;6,7486E+13;17;6050
;;;;;
277;-100;-100,35614451561;35614451561;10;6060
;;;;;
278;-1128;-1128,346220525833;3,46221E+11;47;6107
;;;;;
279;-98;-98,767629172133;7,67629E+11;10;6117
;;;;;
280;-208;-208,59253042023786;5,9253E+13;18;6135
;;;;;
281;-989;-989,381761832199;3,81762E+11;44;6179
;;;;;
282;-357;-357,87389201963236;8,73892E+13;24;6203
;;;;;
283;-105;-105,66235895805107;6,62359E+13;9;6212
;;;;;
284;-138;-138,6397357021943;6,39736E+12;14;6226
;;;;;
285;-98;-98,6911905088802;6,91191E+12;10;6236
;;;;;
286;-126;-126,44174028699788;4,4174E+13;10;6246
;;;;;
287;-156;-156,31545413099516;3,15454E+13;17;6263
;;;;;
288;-112;-112,96345138784807;9,63451E+13;11;6274
;;;;;
289;-98;-98,64611467339506;6,46115E+13;10;6284
;;;;;
290;-101;-101,7344753741057;7,34475E+12;9;6293
;;;;;
291;-94;-94,5302154657926;5,30215E+12;11;6304
;;;;;
292;-92;-92,64068015387;64068015387;10;6314
;;;;;
293;-98;-98,42501447751056;4,25014E+13;13;6327
;;;;;
294;-109;-109,39101084785443;3,91011E+13;8;6335
;;;;;
295;-98;-98,6860512544236;6,86051E+12;10;6345
;;;;;
296;-108;-108,37229674547768;3,72297E+13;9;6354
;;;;;
297;-112;-112,73321044733655;7,3321E+13;13;6367
;;;;;
298;-111;-111,7526841663973;7,52684E+12;10;6377
;;;;;
299;-118;-118,35106530096027;3,51065E+13;13;6390
;;;;;
300;-98;-98,71045781867855;7,10458E+13;10;6400
;;;;;
301;-98;-98,68641687584963;6,86417E+13;10;6410
;;;;;
302;-109;-109,407149282132;4,07149E+11;8;6418
;;;;;
303;-124;-124,2342204892887;2,3422E+12;14;6432
;;;;;
304;-103;-103,90591742424829;9,05917E+13;10;6442
;;;;;
305;-488;-488,3163425871228;3,16343E+12;30;6472
;;;;;
306;-134;-134,90828470344235;9,08285E+13;13;6485
;;;;;
307;-108;-108,35124203357924;3,51242E+13;9;6494
;;;;;
308;-98;-98,67356448510509;6,73564E+13;10;6504
;;;;;
309;-130;-130,8218040012754;8,21804E+12;12;6516
;;;;;
310;-105;-105,6331292089948;6,33129E+12;10;6526
;;;;;
311;-136;-136,91322746336903;9,13227E+13;14;6540
;;;;;
312;-109;-109,36237113970316;3,62371E+13;8;6548
;;;;;
313;-124;-124,93851421131825;9,38514E+13;12;6560
;;;;;
314;-126;-126,4897057199482;4,89706E+12;10;6570
;;;;;
315;-126;-126,23617554384927;2,36176E+13;15;6585
;;;;;
316;-98;-98,8611405778889;8,61141E+12;9;6594
;;;;;
