,episode_reward,nb_episode_steps,nb_steps
492,140.90091623491477,65,32086
493,149.0216412300164,56,32142
494,145.7370614741922,59,32201
495,136.55210615767356,69,32270
496,97.57028031530088,107,32377
497,-124.02020616061054,38,32415
498,151.9472707384544,53,32468
499,151.52229576339238,52,32520
500,109.78123496500078,96,32616
501,-110.38465483058215,23,32639
502,130.74034986731806,74,32713
503,157.34605603429551,46,32759
504,128.09932022563785,77,32836
505,125.99520356493667,78,32914
506,137.9659564469231,68,32982
507,-107.36301983224305,18,33000
508,137.8699645197222,67,33067
509,-104.3409061224244,20,33087
510,-107.15878519376241,94,33181
511,90.11836264108993,115,33296
512,120.41082206928427,84,33380
513,-115.03298544988196,28,33408
514,102.37959549449828,104,33512
515,-101.82620756651745,13,33525
516,125.17158240912848,80,33605
517,-116.37323593023734,30,33635
518,-147.08010378811662,57,33692
519,121.21571027990234,83,33775
520,114.12138018357562,91,33866
521,131.57749188541763,73,33939
522,138.64364962491442,67,34006
523,140.663641878408,63,34069
524,146.72801984006728,58,34127
525,141.92623715052707,63,34190
526,128.93717628227301,75,34265
527,112.85781197973654,93,34358
528,104.12252504983255,102,34460
529,-100.25940040467219,12,34472
530,137.2890421279422,68,34540
531,138.48497898005186,65,34605
532,138.76133238033913,67,34672
533,143.53740838931208,63,34735
534,127.09628884499602,77,34812
535,134.5629279314524,72,34884
536,148.65234853156605,57,34941
537,144.77410383667484,60,35001
538,-105.62909713703257,21,35022
539,-101.13200263703334,13,35035
540,114.23166182859961,92,35127
541,129.4279147952634,77,35204
542,130.85060616429007,75,35279
543,150.1543718910992,53,35332
544,138.5603633640594,68,35400
545,137.40427189868643,68,35468
546,140.54145452261113,65,35533
547,151.28179231572784,54,35587
548,141.58411888196687,64,35651
549,-129.33563033373315,42,35693
550,103.88165135638293,100,35793
551,147.4944859497312,59,35852
552,122.49905206527038,83,35935
553,134.31949064474838,71,36006
554,-126.1130223696489,41,36047
555,129.9342398717519,73,36120
556,143.7074142769826,61,36181
557,136.47314003585552,70,36251
558,127.34350196257552,79,36330
559,157.3685811652652,48,36378
560,131.6790219870002,73,36451
561,159.1690613301766,47,36498
562,108.00736205284626,98,36596
563,123.56160422760891,82,36678
564,127.8162551011288,78,36756
565,156.96681470691414,49,36805
566,111.91085951850066,94,36899
567,-192.47406543521248,86,36985
568,144.14155476333252,61,37046
569,147.99397333075973,57,37103
570,148.09405698476854,55,37158
571,137.11124806184336,69,37227
572,-104.11924938972162,14,37241
573,154.79136593747205,51,37292
574,137.77462016709623,68,37360
575,161.21581249024183,44,37404
576,132.96340421635531,73,37477
577,147.52765754690057,59,37536
578,155.12093655974022,51,37587
579,135.3630910173456,70,37657
580,137.75271201075267,68,37725
581,144.84466507916073,61,37786
582,137.562953468027,68,37854
583,40.73327176110405,165,38019
584,148.87130025662333,55,38074
585,149.21437955797788,57,38131
586,74.05920392160374,132,38263
587,133.69463015541697,70,38333
588,-100.09632361229491,158,38491
589,155.80995175848068,50,38541
590,-101.05915225642254,13,38554
591,135.43162080662623,71,38625
592,151.4154780961223,55,38680
593,118.33324686404735,87,38767
594,149.56692890997044,57,38824
595,150.44426821738628,56,38880
596,126.64290472648591,79,38959
597,41.268918947950795,66,39025
598,153.83217148154847,50,39075
599,156.70525593453027,48,39123
600,144.48580924628564,62,39185
601,136.1270788534864,69,39254
602,138.36064925858275,68,39322
603,-165.23244471709216,28,39350
604,127.93828159662192,76,39426
605,157.2873265860501,47,39473
606,-102.42267442765169,15,39488
607,-195.27498827784822,11,39499
608,138.15430983532374,67,39566
609,139.20868918433362,67,39633
610,126.80451556708458,79,39712
611,-101.18935359204394,14,39726
612,123.74049180186887,82,39808
613,140.15196115187217,66,39874
614,149.31773356098017,57,39931
615,133.1211470792108,70,40001
616,132.27813696511177,73,40074
617,157.92752258230902,48,40122
618,144.06351698161936,62,40184
619,-199.13646938709957,13,40197
620,-153.8815500273689,72,40269
621,149.2837569975574,57,40326
622,142.67760909313756,63,40389
623,-109.51063669461038,22,40411
624,134.0381392100054,70,40481
625,162.29565627713833,42,40523
626,152.33886788977455,54,40577
627,-113.38075263265347,29,40606
628,-117.534324612188,33,40639
629,135.56805503471776,69,40708
630,141.7287807407622,64,40772
631,131.16751389464233,72,40844
632,146.80014618661625,59,40903
633,155.60688912227238,50,40953
634,-119.12327721416821,34,40987
635,140.55820538377333,64,41051
636,127.61709745895345,78,41129
637,-107.2809548002916,21,41150
638,154.90559460618337,51,41201
639,146.93029206613872,59,41260
640,161.63430755746973,41,41301
641,-160.10113485855354,30,41331
642,153.01201515705606,53,41384
643,165.22325268904012,41,41425
644,156.4933278685367,48,41473
645,150.9437694966646,55,41528
646,145.8980351484414,59,41587
647,154.67798878068652,49,41636
648,143.95497973380884,61,41697
649,121.11161543286117,83,41780
650,-156.71903866996755,28,41808
651,161.68633531811685,44,41852
652,154.24207509851246,52,41904
653,151.80931303591805,53,41957
654,-131.86108502658928,46,42003
655,-109.12028718764375,25,42028
656,159.9971517119876,43,42071
657,159.05047314888142,45,42116
658,149.55837629757445,56,42172
659,154.57073689005668,49,42221
660,148.35184809587986,57,42278
661,-106.07220705291387,18,42296
662,130.87064159846392,75,42371
663,146.11480786948667,59,42430
664,164.5934125401904,41,42471
665,150.90743652806532,55,42526
666,162.23670107625148,44,42570
667,159.17108333183148,47,42617
668,158.4302136919635,47,42664
669,151.42257138107053,54,42718
670,149.3286906499131,56,42774
671,-104.92055495338069,19,42793
672,149.99239838803283,56,42849
673,143.46802312974017,62,42911
674,-144.99692084523448,60,42971
675,156.06443774658987,50,43021
676,159.05246779587608,46,43067
677,157.14715786626226,48,43115
678,-153.3762016364048,67,43182
679,-166.83666568737385,81,43263
680,131.2095968665722,72,43335
681,127.09891521972752,78,43413
682,151.91523439140832,53,43466
683,143.1449426744384,62,43528
684,149.68095827239162,56,43584
685,148.47097774074962,57,43641
686,164.4130251848396,42,43683
687,166.40339947346507,38,43721
688,136.54093160457234,70,43791
689,158.62980548439697,47,43838
690,162.27603558043586,44,43882
691,161.91136568280893,44,43926
692,156.83543525211795,49,43975
693,156.3151470721354,50,44025
694,159.70504827044002,46,44071
695,-161.18358233389506,29,44100
696,133.69224723157694,72,44172
697,145.07346799862842,61,44233
698,152.50887542604107,52,44285
699,162.72015934275134,41,44326
700,166.14856546361497,40,44366
701,158.8969365187465,47,44413
702,-119.35037668983469,34,44447
703,-100.99114742640725,12,44459
704,152.53721317998412,53,44512
705,154.099837467152,49,44561
706,165.23147816842004,41,44602
707,148.32869996560677,58,44660
708,138.14487617303269,67,44727
709,152.64714153202442,53,44780
710,149.17714032882742,57,44837
711,145.36256987651024,61,44898
712,158.85509246088336,47,44945
713,155.14172387900712,48,44993
714,142.85945858218253,63,45056
715,164.7019896224536,40,45096
716,162.47636310034864,44,45140
717,162.20352155778212,44,45184
718,162.0945928679625,42,45226
719,157.71158961146216,45,45271
720,-100.0,100,45371
721,-178.71336424986356,94,45465
722,161.42391983658467,45,45510
723,152.24890796991969,52,45562
724,159.18226749328298,47,45609
725,162.57839058565094,42,45651
726,168.23952081156688,38,45689
727,156.42498510659115,49,45738
728,152.86314240467954,53,45791
729,158.82483742126612,47,45838
730,159.54318978824307,45,45883
731,165.80572410057414,38,45921
732,158.14651679526315,48,45969
733,163.01377694840693,40,46009
734,162.6943794151315,42,46051
735,158.82296730634204,45,46096
736,156.18367989963048,47,46143
737,154.82472633722568,51,46194
738,153.19022882434933,51,46245
739,158.21815345995688,46,46291
740,157.83349136384393,46,46337
741,163.61615954392346,40,46377
742,164.81760314863902,40,46417
743,164.95292775481965,41,46458
744,162.48133607462194,44,46502
745,164.73471679012357,40,46542
746,159.28694463374305,45,46587
747,-156.7786616316634,70,46657
748,164.77254203868762,41,46698
749,160.5427620267832,46,46744
750,141.36820813165957,63,46807
751,154.27312688320646,50,46857
752,166.02624201395156,40,46897
753,166.1402859934736,39,46936
754,163.572154515066,41,46977
755,156.5341140003152,49,47026
756,149.84854425434625,56,47082
757,169.69613671645948,36,47118
758,157.51335110599064,48,47166
759,149.14665756643018,57,47223
760,161.32829205684277,45,47268
761,159.21042097006335,45,47313
762,153.92331044882349,52,47365
763,165.47917984822794,39,47404
764,168.5996689917414,37,47441
765,166.05805022037896,39,47480
766,165.7742268316451,39,47519
767,157.86256664766256,47,47566
768,155.65780083866775,50,47616
769,159.5984413925937,46,47662
770,155.78007371628857,50,47712
771,147.55680226004685,57,47769
772,166.0233509775102,40,47809
773,166.01835432969227,39,47848
774,157.21360322487047,46,47894
775,161.1302206263612,45,47939
776,152.3501574046876,53,47992
777,162.3351721857512,42,48034
778,163.14128961593246,42,48076
779,154.18083917491543,51,48127
780,156.373286223714,47,48174
781,160.16842390534364,44,48218
782,155.76999583358452,50,48268
783,166.95511513780656,39,48307
784,162.26004323506038,44,48351
785,164.01665572405693,40,48391
786,165.70955462139142,39,48430
787,162.48440704653532,42,48472
788,168.21411178914872,37,48509
789,161.44432360004,44,48553
790,158.9717905868361,44,48597
791,151.96633175073805,53,48650
792,166.40269349808514,40,48690
793,171.46867091209342,35,48725
794,164.51498605982238,41,48766
795,159.1245969238972,47,48813
796,164.18218784467425,41,48854
797,159.94633118425503,46,48900
798,162.2201754781104,42,48942
799,164.2574662332119,41,48983
800,160.14642973161352,46,49029
801,165.68295975678473,40,49069
802,170.0600784057306,35,49104
803,166.21473697398454,38,49142
804,167.16108206994735,36,49178
805,167.94384124840397,37,49215
806,163.3974170669369,40,49255
807,163.2681061370771,42,49297
808,163.54723348975674,39,49336
809,161.01178898708082,44,49380
810,168.52757458938385,36,49416
811,169.77393731541832,36,49452
812,157.33118435643618,48,49500
813,160.38042671268832,45,49545
814,165.01767182448916,38,49583
815,166.96121590692655,38,49621
816,170.22654858080404,36,49657
817,171.48767509305975,35,49692
818,158.9118414591432,46,49738
819,161.23340079058596,45,49783
820,160.2585161232234,44,49827
821,171.09536426111924,35,49862
822,160.84332758385375,44,49906
823,155.76740133288195,48,49954
824,170.82972411888184,35,49989
825,158.7534001774183,47,50036
826,163.96390084527866,42,50078
827,170.02977018644071,35,50113
828,166.64206248446925,36,50149
829,167.38509595421414,39,50188
830,167.01345121404302,38,50226
831,171.4512475117648,35,50261
832,171.19815379897224,35,50296
833,169.53661114395965,37,50333
834,168.71633025025147,34,50367
835,168.110851665808,38,50405
836,168.70203492754237,36,50441
837,162.6017936290381,43,50484
838,164.13654556564916,42,50526
839,158.6986063100623,45,50571
840,161.13747899398578,45,50616
841,169.86666414073065,36,50652
842,162.5472531340919,41,50693
843,-195.56652450731434,15,50708
844,167.43526933503495,38,50746
845,165.1064793488259,38,50784
846,165.59119055211926,40,50824
847,-103.40561335128906,13,50837
848,170.1658088419475,36,50873
849,167.48225186680662,39,50912
850,167.40093042318756,37,50949
851,170.05262381728483,35,50984
852,166.66827656823324,39,51023
853,161.12200408598773,43,51066
854,162.5993480175752,40,51106
855,160.6647248440147,43,51149
856,141.29639043846197,65,51214
857,171.35533794017942,35,51249
858,166.06036655936023,40,51289
859,171.1316182473921,35,51324
860,163.84964950341353,41,51365
861,169.24048855690995,37,51402
862,165.4202375725837,40,51442
863,160.8073676231433,44,51486
864,168.25893318413824,37,51523
865,170.14744735342475,35,51558
866,166.07291955372762,39,51597
867,160.2985964454159,46,51643
868,159.48365069376197,44,51687
869,171.11153832037405,35,51722
870,171.0879367588749,35,51757
871,167.5168777884487,39,51796
872,162.48101021874055,43,51839
873,169.11412438517942,36,51875
874,162.9850950756467,42,51917
875,164.61903656498862,40,51957
876,64.92734734032112,41,51998
877,164.61116937329197,41,52039
878,166.9212621531223,36,52075
879,-107.32109820940342,20,52095
880,162.29793214539794,43,52138
881,159.40719013808263,44,52182
882,161.60188198432445,44,52226
883,116.1291746528039,90,52316
884,168.76655855332302,36,52352
885,156.53386476892354,49,52401
886,161.915035829823,43,52444
887,162.9512543419071,43,52487
888,167.97929468932352,38,52525
889,158.97170960211423,47,52572
890,157.18857158368058,46,52618
891,165.55330298713,41,52659
892,168.4875829948527,38,52697
893,153.7274452563479,50,52747
894,155.19916718177373,48,52795
895,-194.5488065947678,10,52805
896,167.00943589584716,38,52843
897,169.25467683625368,37,52880
